frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,1134,434,1100.15,0.0038
2,1110,386,1046.58,0.0374
3,1209,465,1018.84,0.0701
4,1245,482,1023.67,0.1321
5,1215,471,1020.54,0.1866
6,1175,507,1002.24,0.2572
7,1112,486,982.86,0.3183
8,1094,525,1016.61,0.3578
9,1098,566,979.74,0.4107
10,1159,579,1013.77,0.4981
11,1168,585,1024.12,0.5951
12,1194,575,1002.76,0.6828
13,1209,523,990.92,0.7805
14,1274,521,970.91,0.898
15,1323,530,996.68,1.0484
16,1307,556,1006.67,1.2309
17,1201,518,999.24,1.4564
18,1075,475,988.67,1.7209
19,1093,471,992.37,2.0221
20,1026,441,994.25,2.3683
21,1007,450,981.8,2.761
22,973,456,954.38,3.2117
23,881,375,979.63,3.7213
24,836,345,966.64,4.2609
25,782,343,988.41,4.8138
26,729,325,924.31,5.4119
27,696,321,1004.85,6.0294
28,647,310,979.28,6.666
29,668,312,997.56,7.3057
30,709,346,994.39,7.9635
31,687,312,979.78,8.6367
32,761,376,1005.65,9.2713
33,798,384,972.33,9.9428
34,833,396,950.03,10.6029
35,981,454,966.43,11.2019
36,894,455,987.99,11.7931
37,1028,520,996.68,12.3999
38,1019,522,998.1,12.9897
39,1137,535,988.82,13.5425
40,1014,535,955.59,14.1439
41,1050,540,985.58,14.7711
42,1114,557,1004.5,15.5084
43,1070,509,959.51,16.4178
44,1073,522,982.63,17.4418
45,1134,539,1002.43,18.6187
46,1260,578,992.29,19.9227
47,1171,551,1001.89,21.4138
48,1211,569,986.38,23.157
49,1278,546,998.14,25.1744
50,1247,546,983.93,27.4393
