frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,500,262,523.68,0.1778
2,500,247,359.32,0.5491
3,500,298,362.2,1.2009
4,500,318,358.07,2.0664
5,500,302,349.4,3.2589
6,500,316,336.78,4.2777
7,500,276,334.69,5.6193
8,500,309,318.48,7.3028
9,500,339,367.42,9.3707
10,500,333,347.23,11.2297
11,500,336,366.25,13.4655
12,500,341,358.8,16.1916
13,500,322,323.01,19.3809
14,500,321,345.56,23.1277
15,500,334,366.87,27.1664
16,500,324,313.09,31.5467
17,500,320,368.03,36.3333
18,500,307,328.62,41.6297
19,500,316,324.95,47.4181
20,500,313,365.3,53.8623
21,500,314,352.16,60.9226
22,500,327,357.56,68.578
23,500,303,337.58,76.744
24,500,293,358.68,85.3718
25,500,303,354.36,93.2937
26,500,297,322.38,101.7805
27,500,277,332.75,109.7831
28,500,261,356.89,118.2274
29,500,260,342.75,126.7023
30,500,293,352.15,134.8281
31,500,296,347.31,143.5306
32,500,320,357.9,152.9213
33,500,304,347.94,162.7884
34,500,311,335.16,173.2133
35,500,308,357.58,183.942
36,500,317,359.47,195.3565
37,500,279,319.91,207.1469
38,500,273,376.43,219.2486
39,500,246,372.27,231.3553
40,500,35,322.94,242.8781
41,500,231,344.06,255.1498
42,500,242,347.04,268.1892
43,500,217,352.77,281.9141
44,500,201,362.07,295.865
45,500,216,388.2,310.6168
46,500,215,326.42,325.5026
47,500,244,324.01,340.3165
48,500,262,312.29,355.0329
49,500,286,341.16,369.5791
50,500,271,350.95,384.1037
51,500,256,351.32,398.3745
52,500,245,347.67,412.6024
53,500,251,343.31,426.9287
54,500,180,312.63,441.2506
55,500,306,323.73,454.7896
56,500,326,335.83,468.3949
57,500,306,344.05,482.0911
58,500,292,359.35,495.7658
59,500,288,335.4,509.5479
60,500,287,318.49,523.3649
61,500,310,326.0,537.2711
62,500,319,347.59,551.1048
63,500,233,313.81,564.9391
64,500,330,320.55,578.9014
65,500,317,336.43,592.8849
66,500,287,461.14,606.9032
67,500,286,327.01,620.9567
68,500,305,337.12,635.0143
69,500,340,352.28,649.0999
70,500,353,344.61,663.2059
71,500,352,373.95,677.3755
72,500,332,346.56,691.5801
73,500,331,347.47,705.8424
74,500,331,342.71,720.3045
75,500,345,340.81,734.7543
76,500,336,350.35,749.2472
77,500,320,329.4,763.761
78,500,317,363.02,778.2738
79,500,321,337.76,792.8014
80,500,305,353.26,807.3881
81,500,308,364.81,821.9936
82,500,334,339.82,836.6146
83,500,41,321.95,851.3007
84,500,315,360.36,866.0565
85,500,331,367.74,880.865
86,500,310,338.86,895.7364
87,500,317,358.89,910.6736
88,500,277,344.81,925.7035
89,500,111,345.12,940.7984
90,500,298,358.17,956.008
91,500,299,336.28,971.2893
92,500,288,367.44,986.6604
93,500,281,332.62,1002.1214
94,500,283,336.4,1017.7035
95,500,283,326.25,1033.4353
96,500,265,351.7,1049.3096
97,500,261,328.48,1065.3487
98,500,242,336.83,1081.5427
