frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,500,258,434.65,0.3118
2,500,241,323.95,0.938
3,500,227,347.27,1.882
4,500,212,328.8,3.1458
5,500,267,342.29,4.7297
6,500,164,387.85,6.6413
7,500,334,351.85,8.8841
8,500,318,325.82,11.4577
9,500,335,347.48,14.3683
10,500,315,331.82,17.6166
11,500,270,359.34,22.2861
12,500,314,331.61,27.2935
13,500,315,330.58,32.637
14,500,279,352.37,38.3205
15,500,43,309.93,44.3527
16,500,259,363.95,50.7284
17,500,249,353.89,57.4599
18,500,272,345.84,64.552
19,500,200,355.68,72.0156
20,500,218,350.54,79.8489
21,500,238,344.72,88.0568
22,500,251,329.04,96.6359
23,500,328,316.18,105.5922
24,500,308,363.94,114.9323
25,500,313,310.55,124.6567
26,500,320,366.46,134.7729
27,500,295,325.08,145.2849
28,500,305,332.46,156.1954
29,500,301,369.64,167.5021
30,500,233,341.08,179.2116
31,500,311,366.53,191.3551
32,500,327,337.04,203.9114
33,500,323,345.25,216.8779
34,500,330,354.04,230.2592
35,500,354,332.27,244.0659
36,500,330,346.53,258.2955
37,500,331,301.23,272.9482
38,500,330,338.26,288.0273
39,500,286,370.79,303.543
40,500,219,372.17,319.5279
41,500,254,309.19,335.9448
42,500,278,335.45,352.7936
43,500,281,358.18,370.0727
44,500,296,349.49,387.7838
45,500,284,353.29,405.9204
46,500,259,325.91,424.4821
47,500,247,330.34,443.464
48,500,268,329.56,462.8702
49,500,274,338.05,482.6902
50,500,305,365.83,502.9465
51,500,309,366.73,523.6169
52,500,320,316.99,544.6988
53,500,308,339.78,566.1814
54,500,309,422.44,588.0668
55,500,327,321.92,610.3548
56,500,291,317.66,633.0442
57,500,301,347.72,656.1309
58,500,340,355.39,679.6121
59,500,326,334.54,703.4794
60,500,337,333.47,727.7354
61,500,362,351.91,752.3788
62,500,331,323.2,777.4045
63,500,335,367.17,802.8151
64,500,311,352.98,828.6077
65,500,343,356.14,854.7778
66,500,333,354.12,881.3185
67,500,325,345.41,908.2269
68,500,320,349.25,935.4996
69,500,351,357.92,963.1319
70,500,327,366.59,991.1181
71,500,304,325.68,1019.459
72,500,320,352.07,1048.1501
73,500,305,353.19,1077.1867
74,500,300,353.18,1106.5734
75,500,314,320.24,1136.3023
76,500,317,326.46,1166.3703
77,500,311,343.95,1196.7809
78,500,307,319.83,1227.5382
79,500,304,332.42,1258.6419
80,500,299,325.46,1290.0873
81,500,254,335.61,1321.8687
82,500,260,344.23,1353.9821
83,500,223,365.24,1386.4187
84,500,231,349.19,1419.1893
85,500,235,336.15,1452.2963
86,500,252,343.41,1485.7398
87,500,245,347.95,1519.5229
88,500,257,332.17,1553.658
89,500,249,334.6,1588.158
90,500,282,329.74,1623.0169
91,500,279,338.82,1658.2436
92,500,273,354.41,1693.8253
93,500,249,317.58,1729.7724
94,500,266,356.97,1766.0828
95,500,254,334.14,1802.7534
96,500,255,408.92,1839.7749
97,500,285,400.46,1877.1607
98,500,199,349.63,1914.9047
99,500,246,360.67,1953.0586
