frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,1710,819,1130.79,0.1748
2,1666,837,1062.68,0.5262
3,1647,860,1015.32,1.0875
4,1678,889,1002.23,1.8847
5,1603,904,1028.73,2.9471
6,1648,950,1017.45,4.3076
7,1757,1010,1049.31,5.9932
8,1760,1001,1029.59,8.0346
9,1768,1078,1095.82,10.4677
10,1741,1086,1061.85,13.3126
11,1801,1069,1049.23,16.5952
12,1774,1097,1056.01,20.3243
13,1742,1094,1063.59,24.5268
14,1790,1116,1003.83,29.2201
15,1778,1114,1050.05,34.4344
16,1802,1077,1072.8,40.1945
17,1837,1141,1076.62,46.5135
18,1886,1176,1066.0,53.4073
19,1930,1180,1025.49,60.7909
20,1968,1199,1052.86,68.7319
21,2017,1245,1059.23,77.2649
22,2048,1221,1090.97,86.2786
23,2017,1207,1029.72,95.9052
24,2010,1199,1070.58,106.1385
25,2057,1211,1094.45,116.9384
26,2033,1276,1046.32,128.3345
27,2109,1283,1075.15,140.3658
28,2138,1285,1065.44,153.0023
29,2109,1266,1092.14,166.2598
30,2059,1252,1116.95,180.108
31,2097,1237,1073.98,194.5392
32,2133,1260,1096.46,209.5842
33,2180,1286,1051.87,225.2605
34,2264,1246,1057.13,241.5225
35,2265,1238,1078.41,258.3419
36,2283,1255,1093.34,275.6895
37,2338,1190,1075.91,293.5313
38,2406,1151,1104.45,311.888
39,2435,1133,1055.23,330.7158
40,2426,1059,1054.85,350.0269
41,2325,944,1031.0,369.7612
42,2094,892,1000.52,389.9337
43,1831,824,1005.41,410.5328
44,1587,765,1042.35,431.6399
45,1576,742,1008.16,453.1557
46,1427,712,990.67,474.981
47,1396,730,970.81,497.2112
48,1289,681,1001.86,519.8195
49,1301,695,1011.21,542.8124
50,1289,672,985.41,566.1056
51,1243,628,993.59,589.7351
52,1279,666,977.47,613.6711
53,1230,620,1011.63,637.8998
54,1196,638,961.25,662.4351
55,1196,647,1018.35,687.2937
56,1099,606,959.04,712.4559
57,1130,613,969.2,737.9011
58,1199,657,1021.74,763.5974
59,1305,683,999.73,789.5293
60,1360,698,1003.87,815.7078
61,1418,683,989.59,842.1094
62,1372,705,998.48,868.7324
63,1388,667,1028.51,895.5771
64,1418,669,1011.72,922.6301
65,1431,693,993.17,949.9022
66,1458,689,985.02,977.3351
67,1534,708,1011.72,1004.9265
68,1580,685,1010.05,1032.6764
69,1583,707,1055.23,1060.5922
70,1681,748,999.82,1088.6931
71,1602,734,1018.77,1116.9519
72,1662,731,1021.77,1145.3495
73,1608,675,1062.93,1173.9202
74,1479,637,992.29,1202.6171
75,1523,664,974.52,1231.4439
76,1457,614,991.19,1260.3912
77,1393,602,991.67,1289.4548
78,1324,591,973.84,1318.6538
79,1373,605,985.15,1347.9647
80,1344,562,1004.62,1377.4033
81,1454,570,1023.21,1406.9939
82,1476,607,1011.87,1436.7362
83,1481,622,1014.01,1466.6313
84,1534,614,995.12,1496.6723
85,1539,587,1014.27,1526.8366
86,1585,602,993.3,1557.1436
87,1593,562,1032.5,1587.5897
88,1564,546,1001.97,1618.1899
89,1450,535,977.3,1648.9337
90,1408,546,1013.16,1679.8418
91,1448,555,1019.28,1710.9206
92,1368,526,1004.77,1742.1637
93,1362,555,993.76,1773.5563
94,1459,583,980.68,1805.1041
95,1471,614,1086.13,1836.8335
96,1567,605,1062.37,1868.7327
97,1714,639,1007.86,1900.8202
98,1766,658,1013.37,1933.1034
